City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,System_Efficiency_%,Hydrogen_Production_kg/day,Feasibility_Score,Latitude_Band
City 642,-18.13,59.12,4.31,9.25,768.12,14831.18,79.92,236.71,4.07,Tropical
City 643,-32.51,137.41,5.13,8.15,912.78,10500.81,70.01,150.81,3.69,Subtropical
City 644,-17.43,113.09,5.84,8.71,1037.99,12523.75,71.97,180.94,4.0,Tropical
City 645,-44.43,66.65,3.78,6.03,655.27,4315.66,71.88,69.32,2.87,Subtropical
City 646,55.77,-140.24,3.79,8.54,661.63,12056.88,77.17,179.15,3.71,Temperate
City 647,17.17,-75.89,6.12,3.91,1076.28,1154.22,73.52,29.69,2.63,Tropical
City 648,28.28,-68.47,5.83,7.61,1047.58,8138.44,74.57,133.82,3.68,Tropical
City 649,42.59,-90.02,3.32,7.36,575.65,7967.15,71.49,118.06,3.2,Subtropical
City 650,4.8,5.4,6.65,6.3,1191.33,4931.57,74.05,86.13,3.39,Equatorial
City 651,-48.7,12.8,2.78,6.54,480.54,5482.85,71.03,80.21,2.86,Temperate
City 652,9.82,-51.52,6.2,5.09,1114.9,2460.74,75.33,51.16,2.99,Equatorial
City 653,16.29,-52.64,5.74,7.35,1013.47,7560.43,70.98,114.86,3.53,Tropical
City 654,36.91,118.28,4.73,2.53,825.99,295.05,77.91,16.41,2.11,Subtropical
City 655,-3.88,104.15,6.75,9.69,1189.06,17370.69,75.67,266.82,4.53,Equatorial
City 656,-43.41,-69.19,4.27,7.63,738.0,8136.55,77.24,130.63,3.48,Subtropical
City 657,-23.11,148.96,5.73,1.25,990.52,37.17,74.19,14.78,1.89,Tropical
City 658,-12.8,163.01,7.18,5.68,1229.01,3527.24,73.81,68.19,3.28,Equatorial
City 659,23.97,-62.37,5.16,6.48,883.86,5111.36,70.98,79.81,3.18,Tropical
City 660,14.2,-52.41,5.54,5.22,960.26,2694.92,75.24,51.78,2.92,Equatorial
City 661,-13.71,2.03,6.16,7.85,1094.82,9549.76,75.15,149.96,3.81,Equatorial
City 662,68.25,158.8,1.82,12.69,320.74,37256.72,74.68,535.25,4.96,Polar
City 663,18.75,135.47,6.43,6.62,1099.43,5680.9,77.41,99.23,3.49,Tropical
City 664,-29.16,-143.08,4.82,8.04,859.97,9537.55,78.33,161.08,3.72,Tropical
City 665,-46.77,-38.62,3.44,8.42,606.09,10773.25,77.51,171.04,3.62,Temperate
City 666,-40.13,19.21,3.96,12.45,710.42,35465.61,71.44,511.64,5.14,Subtropical
City 667,-28.03,1.13,5.4,3.1,953.73,584.39,76.22,22.77,2.34,Tropical
City 668,-39.11,-110.21,4.18,8.26,718.49,10601.75,70.8,159.84,3.6,Subtropical
City 669,-35.75,129.17,4.18,7.74,729.87,9145.51,76.95,146.44,3.51,Subtropical
City 670,-22.94,63.7,6.23,8.33,1098.98,10998.71,73.82,177.96,3.97,Tropical
City 671,-37.46,121.65,3.95,5.64,672.55,3231.29,71.32,51.0,2.76,Subtropical
City 672,56.58,129.16,3.06,5.3,520.18,2891.17,78.62,48.56,2.62,Temperate
City 673,-49.57,89.41,3.86,9.35,660.56,14888.73,76.14,226.82,3.98,Temperate
City 674,8.19,-21.88,5.61,5.52,968.04,3296.17,73.55,62.62,3.01,Equatorial
City 675,-6.65,39.8,6.77,8.39,1180.81,10824.68,70.31,158.98,4.0,Equatorial
City 676,67.71,-122.27,1.73,7.6,303.02,8188.72,75.37,117.92,3.07,Polar
City 677,-45.43,62.51,4.23,11.43,725.1,29154.2,79.23,450.83,4.91,Temperate
City 678,-8.28,-115.47,5.94,10.75,1049.65,24707.47,75.96,377.58,4.84,Equatorial
City 679,66.03,69.82,2.72,9.66,479.35,16888.56,79.72,257.94,3.98,Polar
City 680,52.52,-97.34,3.88,6.02,670.47,4297.97,71.36,68.89,2.87,Temperate
City 681,46.22,-137.68,4.2,7.6,713.78,8083.42,75.68,132.83,3.45,Temperate
City 682,-26.47,-120.5,5.27,6.68,900.43,5852.58,77.98,104.24,3.36,Tropical
City 683,-37.78,-179.28,4.24,9.19,737.31,14981.24,75.26,219.82,3.98,Subtropical
City 684,26.92,78.75,4.83,5.21,828.05,2605.9,70.91,45.42,2.77,Tropical
City 685,60.82,83.66,3.48,13.97,604.4,50723.39,75.83,729.5,5.81,Polar
City 686,12.38,5.38,5.78,2.45,1019.56,269.11,76.12,18.43,2.23,Equatorial
City 687,14.31,-121.91,5.48,1.08,961.55,23.83,77.29,13.86,1.85,Equatorial
City 688,-23.6,-149.92,5.68,9.13,978.82,13995.26,77.61,226.9,4.2,Tropical
City 689,40.03,-173.11,3.8,2.32,658.99,239.87,77.71,13.08,1.92,Subtropical
City 690,-35.68,-120.33,4.03,7.06,709.33,7028.39,76.63,117.17,3.28,Subtropical
City 691,-17.92,140.71,5.02,13.59,897.27,45202.47,72.16,660.43,5.8,Tropical
City 692,-4.69,-93.05,6.43,4.44,1141.53,1669.32,74.04,37.56,2.82,Equatorial
City 693,5.99,-52.46,6.54,1.8,1147.88,111.11,77.76,19.56,2.19,Equatorial
City 694,-28.49,-142.08,5.13,6.71,890.25,5977.5,79.53,106.08,3.36,Tropical
City 695,-45.07,-99.95,4.32,8.38,750.29,11188.67,70.79,160.92,3.65,Temperate
City 696,19.38,6.92,5.91,6.34,1056.1,4863.51,75.36,83.77,3.3,Tropical
City 697,-22.48,38.79,5.33,7.9,908.38,9352.07,73.13,142.83,3.68,Tropical
City 698,15.56,-91.67,5.81,2.96,1045.4,479.95,72.25,20.55,2.32,Tropical
City 699,-39.93,-159.22,4.46,12.21,787.79,32987.14,75.06,487.89,5.15,Subtropical
City 700,2.55,-39.23,7.46,4.87,1318.64,2170.22,76.06,48.26,3.11,Equatorial
City 701,9.24,-95.69,6.42,6.74,1093.26,5545.08,70.1,89.54,3.43,Equatorial
City 702,-53.26,-100.96,3.04,7.76,534.68,8911.6,77.8,136.34,3.35,Temperate
City 703,-16.24,165.55,5.37,8.84,938.35,12859.52,78.2,194.6,4.04,Tropical
City 704,-42.53,41.87,3.3,7.61,564.59,8403.06,79.66,136.47,3.37,Subtropical
City 705,-51.76,20.48,3.71,9.87,640.98,17565.38,71.81,250.44,4.08,Temperate
City 706,68.69,-30.32,2.48,8.54,443.74,12358.54,75.95,183.3,3.51,Polar
City 707,-18.09,-25.58,6.02,3.32,1056.88,722.25,74.27,23.97,2.47,Tropical
City 708,45.28,14.73,3.77,10.25,655.76,19786.76,73.35,296.69,4.27,Temperate
City 709,-26.9,70.71,5.82,5.58,993.75,3247.82,75.66,61.69,3.07,Tropical
City 710,28.6,72.77,4.76,4.72,842.53,2028.2,77.82,40.73,2.7,Tropical
City 711,38.83,-118.19,4.76,6.28,842.58,4494.77,70.23,71.3,3.05,Subtropical
City 712,17.43,0.04,5.76,7.49,1014.62,7863.55,79.69,134.39,3.69,Tropical
City 713,1.3,-31.7,6.6,2.56,1156.46,309.65,78.1,20.75,2.39,Equatorial
City 714,-6.46,133.39,6.84,4.35,1193.17,1634.52,77.51,42.11,2.9,Equatorial
City 715,-14.65,47.31,6.18,5.5,1087.18,3282.51,77.6,66.52,3.13,Equatorial
City 716,60.84,11.7,2.92,5.29,503.18,2837.13,73.89,48.12,2.55,Polar
City 717,47.98,-138.46,3.68,5.12,660.6,2555.95,77.52,45.89,2.65,Temperate
City 718,65.45,38.03,2.4,11.39,422.01,29317.68,73.87,433.31,4.56,Polar
City 719,-43.84,-137.81,5.13,6.54,887.25,5560.71,78.99,95.16,3.3,Subtropical
City 720,35.01,-58.61,5.14,10.14,897.13,20806.87,71.77,309.88,4.44,Subtropical
City 721,61.98,-128.58,3.02,12.62,538.18,36642.79,72.92,491.94,5.03,Polar
City 722,-36.44,69.15,4.51,9.44,773.15,15421.58,75.51,232.02,4.1,Subtropical
City 723,-51.36,-105.75,3.91,13.68,675.92,49601.09,73.19,706.33,5.74,Temperate
City 724,36.35,-38.93,4.71,7.43,833.55,7817.3,74.24,118.79,3.45,Subtropical
City 725,14.68,142.44,5.99,7.09,1036.4,6429.34,74.92,109.32,3.54,Equatorial
City 726,49.44,-106.45,3.39,7.48,602.73,7593.47,78.56,123.98,3.32,Temperate
City 727,-41.83,2.81,4.03,14.31,690.61,57998.19,75.23,796.35,6.07,Subtropical
City 728,43.38,-29.06,2.38,13.3,422.37,46410.18,73.62,662.6,5.37,Subtropical
City 729,-33.79,-173.48,4.74,7.41,809.06,7609.89,72.48,115.83,3.42,Subtropical
City 730,-38.72,105.39,4.05,8.84,688.16,13660.69,74.09,195.52,3.81,Subtropical
City 731,-38.65,-155.14,5.09,11.26,911.23,27412.76,75.16,425.57,4.91,Subtropical
City 732,45.89,-9.27,3.8,8.22,667.57,10899.09,77.46,177.35,3.63,Temperate
City 733,26.48,21.84,4.55,5.01,789.89,2365.36,71.21,41.76,2.67,Tropical
City 734,8.0,46.23,6.42,6.98,1105.5,6211.22,72.22,100.83,3.53,Equatorial
City 735,-13.35,67.91,5.54,5.53,976.38,3192.97,73.8,57.33,3.0,Equatorial
City 736,54.04,-88.82,3.45,9.86,604.79,18137.29,73.6,269.7,4.09,Temperate
City 737,-8.98,-176.41,6.52,2.81,1172.46,424.98,73.92,23.45,2.41,Equatorial
City 738,46.16,80.44,4.25,4.32,763.9,1469.86,77.94,32.59,2.51,Temperate
City 739,-2.91,12.84,6.4,4.88,1128.76,2324.58,73.24,49.6,2.94,Equatorial
City 740,-11.0,121.0,6.25,7.36,1089.69,7377.45,75.02,120.67,3.66,Equatorial
City 741,0.15,115.7,6.31,3.45,1103.18,755.66,76.24,26.63,2.56,Equatorial
City 742,-20.82,123.6,5.89,9.67,1042.08,17245.77,72.32,262.89,4.37,Tropical
City 743,37.19,-5.37,4.66,5.96,796.28,4036.45,77.19,70.95,3.03,Subtropical
City 744,5.35,-59.89,6.87,1.9,1191.0,129.21,75.47,18.87,2.24,Equatorial
City 745,-29.81,104.96,4.91,6.81,839.07,6180.94,74.47,101.13,3.3,Tropical
City 746,56.94,-17.53,3.22,9.49,549.98,16256.86,78.1,243.12,3.97,Temperate
City 747,-10.09,-113.96,7.1,6.93,1220.14,6408.47,72.43,103.05,3.62,Equatorial
City 748,10.66,127.79,6.11,3.13,1068.55,595.65,78.83,26.06,2.48,Equatorial
City 749,57.84,137.72,3.02,13.2,537.18,41555.81,75.61,616.07,5.39,Temperate
City 750,21.15,-12.13,4.98,11.03,870.14,25702.75,76.09,397.38,4.81,Tropical
City 751,-44.8,-152.75,3.43,8.38,594.54,11643.58,78.75,178.7,3.63,Subtropical
City 752,62.18,-40.38,2.7,13.34,460.61,42833.42,78.18,646.03,5.44,Polar
City 753,21.6,109.27,6.04,3.52,1060.01,819.67,76.02,28.5,2.54,Tropical
City 754,-16.46,144.64,5.72,8.33,987.83,11492.61,77.53,180.34,3.94,Tropical
City 755,-41.89,-106.75,3.95,10.81,695.69,23614.7,74.33,331.07,4.49,Subtropical
City 756,43.22,-155.89,3.77,10.48,677.91,21780.16,75.47,322.42,4.38,Subtropical
City 757,20.61,135.85,5.29,6.02,905.18,4359.72,70.62,69.81,3.07,Tropical
City 758,9.35,-39.81,6.49,1.0,1117.58,18.4,70.9,14.75,1.91,Equatorial
City 759,56.21,15.03,2.32,8.02,404.84,9339.63,78.29,150.89,3.34,Temperate
City 760,42.52,168.5,4.66,6.69,838.1,5896.17,70.6,95.0,3.18,Subtropical
City 761,-40.28,-156.04,3.85,5.58,683.78,3433.89,71.69,56.5,2.74,Subtropical
City 762,-19.48,53.39,6.0,6.25,1073.47,4632.19,77.96,86.96,3.33,Tropical
City 763,-27.7,-153.32,4.43,5.72,767.23,3565.32,70.01,59.81,2.85,Tropical
City 764,36.71,-44.83,4.76,5.61,857.23,3472.77,72.82,61.18,2.9,Subtropical
City 765,-55.64,109.37,3.44,6.92,588.53,6446.04,75.84,96.5,3.12,Temperate
City 766,14.09,-23.95,6.21,3.62,1058.33,878.88,75.95,26.95,2.59,Equatorial
City 767,39.12,178.99,3.76,10.72,672.16,22189.62,77.77,322.56,4.46,Subtropical
City 768,53.98,21.26,3.35,7.75,599.88,8809.57,75.06,127.27,3.35,Temperate
City 769,-15.53,-64.38,5.32,4.27,909.46,1530.37,75.09,34.1,2.63,Tropical
City 770,46.76,-100.76,3.6,7.53,616.11,8465.71,77.25,131.79,3.36,Temperate
City 771,-45.62,-53.81,4.32,9.41,736.08,16587.95,74.99,240.09,4.07,Temperate
City 772,50.04,-45.89,3.9,10.14,666.33,20628.14,76.08,293.73,4.28,Temperate
City 773,-43.43,-155.26,3.97,1.0,682.82,19.16,78.98,10.57,1.62,Subtropical
City 774,-8.35,-46.95,5.93,7.39,1065.25,7621.37,74.01,119.24,3.61,Equatorial
City 775,43.65,-12.87,4.27,11.96,753.96,33409.63,73.85,494.31,5.06,Subtropical
City 776,-40.51,80.19,4.17,5.43,742.07,3111.19,70.04,48.62,2.72,Subtropical
City 777,-30.2,56.42,3.73,4.59,662.34,1843.5,76.13,37.56,2.5,Subtropical
City 778,33.89,75.16,5.02,6.26,880.05,4466.31,70.3,74.83,3.09,Subtropical
City 779,33.6,-176.99,4.64,5.47,825.01,3249.98,75.04,59.42,2.87,Subtropical
City 780,23.35,-101.64,5.97,6.89,1049.9,6198.29,78.04,110.12,3.52,Tropical
City 781,30.21,58.21,4.34,2.16,751.01,187.42,75.5,14.08,1.93,Subtropical
City 782,10.55,-5.76,4.67,2.26,820.61,222.49,72.7,13.97,1.98,Equatorial
City 783,-27.27,-178.09,5.23,10.57,917.16,22878.17,77.86,370.35,4.71,Tropical
City 784,-15.06,109.62,6.09,3.19,1085.74,595.41,72.7,23.89,2.43,Tropical
City 785,-36.39,98.21,3.61,10.75,648.64,24425.8,77.33,377.2,4.53,Subtropical
City 786,58.1,17.43,2.44,10.7,425.5,22749.68,76.1,330.2,4.27,Temperate
City 787,15.84,-156.07,7.27,1.06,1291.18,21.94,71.7,17.97,2.05,Tropical
City 788,-7.89,95.95,6.29,6.38,1076.42,4879.27,79.05,90.9,3.42,Equatorial
City 789,0.06,30.14,7.36,3.71,1308.59,995.31,72.01,31.92,2.75,Equatorial
City 790,63.15,101.51,2.25,9.18,391.62,15398.9,79.9,244.88,3.77,Polar
City 791,-40.06,90.63,3.15,8.62,536.8,12560.63,70.07,166.71,3.55,Subtropical
City 792,16.21,109.08,5.78,6.81,1003.63,6272.03,72.63,98.88,3.4,Tropical
City 793,5.77,6.48,6.46,6.35,1138.28,4670.99,72.0,78.92,3.34,Equatorial
City 794,19.49,-129.48,5.44,8.89,930.57,12766.26,70.14,177.93,3.96,Tropical
City 795,-57.65,61.62,2.91,10.78,521.14,23979.1,77.32,347.54,4.39,Temperate
City 796,53.38,43.37,3.4,5.9,579.92,3813.2,76.93,61.78,2.82,Temperate
City 797,61.18,87.21,2.64,8.93,473.83,14013.65,77.92,211.48,3.7,Polar
City 798,13.47,-118.84,5.43,12.7,960.66,39664.62,72.57,559.74,5.49,Equatorial
City 799,30.56,-109.81,5.1,8.87,884.43,13905.55,74.44,199.57,3.98,Subtropical
City 800,59.92,140.55,1.83,15.92,318.35,74623.35,76.59,1141.83,6.67,Temperate
City 801,31.94,89.99,3.74,10.68,663.32,23128.36,74.4,345.7,4.45,Subtropical
City 802,-40.17,146.96,4.56,8.62,802.22,12177.51,76.97,194.44,3.86,Subtropical
City 803,14.92,93.14,6.21,6.25,1097.28,4501.07,76.34,78.41,3.33,Equatorial
City 804,18.87,34.98,5.65,5.8,982.52,3734.25,71.15,64.46,3.06,Tropical
City 805,-4.86,55.49,5.96,1.0,1042.6,18.89,77.81,15.74,1.9,Equatorial
City 806,35.74,140.09,4.14,7.62,745.57,8355.78,77.21,140.29,3.47,Subtropical
City 807,61.47,28.37,2.57,13.17,441.69,42808.71,76.56,645.53,5.37,Polar
City 808,60.32,47.66,1.98,8.53,344.77,11205.68,71.55,158.28,3.36,Polar
City 809,-1.39,-123.67,6.53,5.17,1129.7,2630.11,72.68,53.84,3.03,Equatorial
City 810,-45.28,-9.39,4.16,10.66,738.43,22596.77,73.93,315.89,4.46,Temperate
City 811,68.03,77.9,2.95,8.53,524.32,11168.37,72.8,153.48,3.51,Polar
City 812,49.06,-82.46,3.36,7.78,580.39,8757.7,72.28,130.81,3.34,Temperate
City 813,-43.79,-107.19,4.31,5.83,736.66,3685.94,78.05,62.81,2.95,Subtropical
City 814,59.71,-67.02,1.86,7.92,316.98,9317.41,76.38,134.16,3.2,Temperate
City 815,53.09,-93.06,3.61,6.09,629.77,4124.43,75.65,70.1,2.9,Temperate
City 816,7.45,-102.63,6.08,2.49,1057.96,294.9,72.26,18.13,2.24,Equatorial
City 817,16.87,-27.05,5.97,9.24,1074.46,15268.8,79.18,249.2,4.32,Tropical
City 818,-8.13,146.82,6.31,2.52,1101.83,309.79,71.91,20.13,2.28,Equatorial
City 819,-52.88,2.54,3.96,9.6,683.1,17370.5,77.95,262.22,4.13,Temperate
City 820,-16.42,-112.35,5.41,4.39,968.47,1594.19,79.67,37.64,2.72,Tropical
City 821,44.37,-152.29,4.21,11.38,736.0,28089.23,77.27,405.67,4.81,Subtropical
City 822,-59.4,70.62,2.7,13.22,475.6,45308.89,79.93,668.26,5.46,Temperate
City 823,-16.65,-42.19,5.76,7.82,983.97,9033.09,76.51,138.91,3.75,Tropical
City 824,-8.24,115.86,6.33,5.59,1100.58,3387.73,72.17,58.88,3.11,Equatorial
City 825,9.86,57.42,5.89,4.41,1056.35,1616.68,72.04,36.32,2.72,Equatorial
City 826,59.58,106.65,2.82,6.98,496.42,6401.04,73.25,94.18,3.02,Temperate
City 827,-14.98,-82.1,5.92,10.36,1026.87,21682.33,70.07,308.91,4.59,Equatorial
City 828,-14.9,69.25,6.08,3.59,1071.27,849.31,76.82,29.12,2.58,Equatorial
City 829,35.88,-84.94,4.53,9.25,811.52,14765.97,72.69,221.58,4.01,Subtropical
City 830,-1.21,158.06,7.31,6.77,1263.45,5724.52,78.15,104.1,3.67,Equatorial
City 831,-30.8,49.09,5.31,5.69,928.76,3451.79,73.59,58.69,3.0,Subtropical
City 832,-1.18,-63.18,6.39,6.71,1147.9,5585.49,74.8,97.81,3.48,Equatorial
City 833,-41.69,-82.98,4.52,10.08,775.54,19618.76,79.66,304.21,4.4,Subtropical
City 834,-37.07,-111.27,3.81,12.03,675.47,34090.53,72.42,457.52,4.94,Subtropical
City 835,4.79,70.07,6.96,3.31,1225.75,706.87,77.21,29.37,2.64,Equatorial
City 836,-5.54,-101.26,6.92,1.34,1223.8,44.99,77.55,18.38,2.13,Equatorial
City 837,58.93,34.31,1.92,8.63,333.01,12837.02,72.21,175.33,3.41,Temperate
City 838,-12.89,-84.73,6.14,5.81,1063.81,3765.12,75.01,71.51,3.18,Equatorial
City 839,15.48,58.31,5.68,5.69,1004.89,3468.93,73.5,65.12,3.06,Tropical
City 840,22.19,113.38,5.07,5.24,872.31,2823.5,77.72,53.65,2.89,Tropical
City 841,-58.3,100.09,3.59,5.06,626.16,2516.28,76.22,44.82,2.61,Temperate
City 842,26.26,93.91,4.83,7.8,831.04,9260.88,74.76,144.55,3.6,Tropical
City 843,-36.86,-112.42,4.02,12.62,683.21,36935.27,77.79,569.69,5.34,Subtropical
City 844,64.94,-148.18,2.49,11.65,447.83,29977.04,72.35,399.01,4.57,Polar
City 845,-40.67,71.62,4.5,9.59,783.66,17396.97,77.54,270.47,4.21,Subtropical
City 846,-6.1,-47.4,6.5,6.04,1168.41,4190.49,78.65,83.9,3.35,Equatorial
City 847,-48.9,-24.36,4.16,9.88,713.01,18695.45,78.79,283.26,4.27,Temperate
City 848,69.59,-168.79,2.39,13.29,421.03,44997.24,77.84,700.6,5.46,Polar
City 849,5.29,-86.55,5.54,5.52,953.09,3305.45,74.08,62.78,3.0,Equatorial
City 850,17.4,-167.88,5.52,4.96,981.53,2263.57,79.82,48.02,2.9,Tropical
City 851,-51.28,136.51,3.13,7.14,556.54,6965.08,73.8,108.28,3.13,Temperate
City 852,37.49,-92.38,4.62,7.13,789.75,6605.54,76.39,104.38,3.36,Subtropical
City 853,-32.71,20.64,3.4,8.06,608.6,10134.7,71.61,149.83,3.43,Subtropical
City 854,56.75,-165.97,4.3,8.88,739.75,13649.9,79.8,225.02,3.96,Temperate
City 855,-33.33,60.07,4.93,8.12,868.72,9679.38,77.04,150.29,3.72,Subtropical
City 856,-35.21,-63.71,4.61,8.62,829.08,12390.17,77.53,199.16,3.88,Subtropical
City 857,-55.25,143.25,3.72,11.61,665.83,29450.05,70.66,417.59,4.75,Temperate
City 858,1.37,139.72,7.5,7.34,1346.74,7227.58,77.63,124.59,3.87,Equatorial
City 859,13.43,-62.9,6.5,5.54,1126.46,3199.81,77.75,61.67,3.18,Equatorial
City 860,-51.46,144.35,3.87,5.88,662.39,3731.36,76.72,61.29,2.88,Temperate
City 861,40.82,178.62,4.21,7.22,723.29,7084.76,72.92,109.04,3.29,Subtropical
City 862,-1.07,117.15,6.85,4.22,1199.51,1407.89,74.9,38.97,2.84,Equatorial
City 863,8.17,124.15,6.19,1.0,1101.43,19.48,71.1,15.66,1.87,Equatorial
City 864,-2.7,-90.36,6.4,7.74,1097.25,9070.45,74.72,143.37,3.81,Equatorial
City 865,-7.9,27.61,6.1,5.15,1077.85,2618.39,72.44,51.07,2.96,Equatorial
City 866,12.75,-155.79,5.43,6.23,941.02,4360.73,73.49,72.31,3.17,Equatorial
City 867,-39.82,-145.83,4.17,11.4,723.95,29393.15,71.63,395.33,4.74,Subtropical
City 868,-36.35,179.6,3.61,6.06,638.16,4310.34,72.3,67.85,2.85,Subtropical
City 869,52.03,-62.41,3.45,10.64,603.17,21753.96,70.77,299.45,4.3,Temperate
City 870,63.0,89.35,2.57,10.02,458.16,19784.37,79.2,305.31,4.11,Polar
City 871,-11.47,110.4,6.27,4.69,1075.78,1894.3,75.3,44.52,2.89,Equatorial
City 872,-24.8,128.89,5.0,4.55,889.98,1804.46,73.97,38.28,2.65,Tropical
City 873,23.72,179.15,6.88,10.54,1173.68,22143.85,75.35,337.54,4.86,Tropical
City 874,-6.86,-93.06,7.2,3.75,1237.89,991.68,76.28,31.05,2.77,Equatorial
City 875,-56.7,-165.47,2.41,11.42,425.29,29448.06,79.22,473.14,4.68,Temperate
City 876,-39.7,-31.97,4.34,3.28,774.44,667.57,71.79,20.23,2.19,Subtropical
City 877,33.08,-133.17,4.38,10.26,755.78,19589.88,72.96,293.22,4.35,Subtropical
City 878,25.66,-171.93,4.7,9.2,813.78,15473.18,79.76,244.59,4.12,Tropical
City 879,-56.48,-50.25,2.38,9.89,416.78,19201.28,73.71,274.82,3.95,Temperate
City 880,-31.14,102.15,5.04,6.55,866.78,5435.41,70.23,84.28,3.18,Subtropical
City 881,-29.96,23.83,4.56,8.0,812.56,9680.69,71.48,137.92,3.57,Tropical
City 882,27.35,-67.4,5.57,12.46,989.94,35150.15,70.26,492.1,5.33,Tropical
City 883,-57.44,55.56,3.48,5.34,596.01,2974.49,79.9,56.5,2.71,Temperate
City 884,-46.47,-96.47,4.43,10.6,774.41,21628.22,72.79,298.86,4.45,Temperate
City 885,43.99,-174.82,3.49,6.12,621.15,4157.15,79.24,68.8,2.92,Subtropical
City 886,-36.79,95.17,4.66,7.63,808.34,8470.0,79.96,144.49,3.58,Subtropical
City 887,24.86,44.55,5.58,5.87,983.26,3697.92,76.0,65.98,3.12,Tropical
City 888,-29.04,94.43,4.73,5.83,806.54,3575.06,70.33,59.31,2.92,Tropical
City 889,-47.07,-165.98,3.32,8.68,584.44,12329.59,70.82,177.34,3.61,Temperate
City 890,-28.39,121.36,5.82,4.0,997.88,1172.49,74.82,30.27,2.62,Tropical
City 891,33.89,43.03,4.74,9.96,845.37,18115.26,74.06,275.66,4.31,Subtropical
City 892,51.24,22.82,3.73,4.64,647.56,1811.99,76.06,35.73,2.51,Temperate
City 893,47.93,44.86,3.23,10.14,558.88,19207.18,74.39,290.22,4.16,Temperate
City 894,-8.37,131.2,5.8,4.02,1035.62,1262.59,79.34,35.61,2.68,Equatorial
City 895,26.85,31.3,4.84,3.76,824.49,1041.0,75.35,27.74,2.42,Tropical
City 896,-33.35,29.14,4.6,7.84,800.83,9114.22,76.94,137.62,3.59,Subtropical
City 897,-21.89,176.64,4.94,2.3,857.3,230.34,78.96,15.88,2.09,Tropical
City 898,56.52,92.42,3.04,9.75,525.19,16752.51,71.47,224.49,3.91,Temperate
City 899,-58.31,-20.77,2.07,6.27,371.5,4479.12,72.3,66.22,2.68,Temperate
City 900,-48.88,74.66,3.02,10.04,535.74,18747.0,71.07,271.08,4.05,Temperate
City 901,-32.97,-39.88,5.03,4.99,857.84,2366.82,71.4,43.59,2.74,Subtropical
City 902,-56.55,-97.6,3.34,8.53,592.26,12079.5,75.13,187.53,3.63,Temperate
City 903,-36.41,34.87,4.26,8.38,745.81,11289.39,73.21,164.37,3.67,Subtropical
City 904,15.8,154.15,5.39,3.65,964.04,912.06,74.23,26.01,2.46,Tropical
City 905,-5.21,154.49,6.12,4.38,1059.77,1528.79,79.82,40.89,2.83,Equatorial
City 906,56.05,-56.91,2.89,5.82,507.9,3856.62,71.57,58.88,2.67,Temperate
City 907,46.27,9.96,4.08,10.2,714.65,19896.98,75.41,304.32,4.33,Temperate
City 908,-15.56,-103.81,6.37,9.97,1114.9,19289.6,70.99,267.58,4.5,Tropical
City 909,-26.27,178.43,4.91,13.61,857.53,47943.65,73.18,710.65,5.87,Tropical
City 910,-10.64,173.2,5.68,5.29,977.01,2886.48,75.28,55.69,2.97,Equatorial
City 911,16.74,53.82,5.96,7.64,1058.64,8851.27,79.47,153.71,3.78,Tropical
City 912,-25.15,109.59,4.83,2.06,842.48,174.37,73.91,13.66,1.96,Tropical
City 913,21.14,77.44,5.26,9.87,944.82,18340.4,70.65,258.67,4.3,Tropical
City 914,-6.78,33.54,7.19,6.62,1240.76,5514.46,73.88,98.83,3.56,Equatorial
City 915,11.77,-160.79,6.59,3.97,1165.28,1156.7,71.46,32.78,2.7,Equatorial
City 916,-3.3,-16.28,6.85,7.42,1228.53,8128.78,72.3,122.41,3.74,Equatorial
City 917,-21.72,62.92,4.84,5.54,855.56,3208.9,76.18,57.61,2.92,Tropical
City 918,63.3,63.91,2.67,9.18,478.02,14144.89,70.67,195.19,3.67,Polar
City 919,39.27,-45.68,4.78,9.12,852.6,14287.84,74.65,207.33,4.01,Subtropical
City 920,-41.79,159.01,3.89,5.52,674.82,3070.52,76.09,55.46,2.78,Subtropical
City 921,52.9,-119.75,3.97,11.84,699.16,31577.7,74.22,440.04,4.91,Temperate
City 922,3.37,0.13,7.41,1.7,1271.41,93.39,70.19,17.91,2.21,Equatorial
City 923,56.29,68.72,3.89,7.0,682.38,6416.8,79.86,109.56,3.27,Temperate
City 924,43.98,70.97,4.07,6.12,701.96,4166.77,73.67,68.02,2.95,Subtropical
City 925,-4.72,53.51,6.96,6.37,1235.52,5142.65,77.79,96.63,3.51,Equatorial
City 926,-57.08,-80.9,3.71,8.17,650.57,10643.77,73.26,164.83,3.54,Temperate
City 927,-25.07,-123.77,5.47,3.14,952.16,607.58,74.75,21.26,2.34,Tropical
City 928,10.41,48.94,6.02,3.53,1039.67,821.97,73.88,26.71,2.52,Equatorial
City 929,22.35,35.75,5.21,6.16,937.93,4552.23,73.43,74.42,3.13,Tropical
City 930,-26.47,-115.43,5.27,3.7,899.01,957.06,70.22,24.54,2.41,Tropical
City 931,-41.88,73.85,3.42,5.31,583.38,2753.9,73.6,44.37,2.62,Subtropical
City 932,48.54,-16.14,3.53,14.13,607.86,51508.29,78.89,751.28,5.92,Temperate
City 933,67.97,60.39,2.79,8.65,501.43,12078.96,76.9,180.33,3.59,Polar
